trade_id,symbol,asset_class,counterparty,quantity,price,notional,trade_date,settlement_date
TRD-00125,TSLA,Equity,MORGAN STANLEY,1000,247.7449,247744.9,2026-08-05,2026-08-07
TRD-00126,TSLA,Equity,BARCLAYS,100,250.768,25076.8,2026-08-08,2026-08-10
TRD-00127,MSFT,Equity,DEUTSCHE BANK,5000,426.4249,2132124.5,2026-08-15,2026-08-17
TRD-00128,AAPL,Equity,BARCLAYS,100,189.9351,18993.51,2026-08-05,2026-08-07
TRD-00129,XAUUSD,Commodity,DEUTSCHE BANK,2500,2376.634,5941585.0,2026-08-20,2026-08-22
TRD-00130,US10Y,Bond,DEUTSCHE BANK,1000,100.5277,100527.7,2026-08-27,2026-08-29
TRD-00131,TSLA,Equity,DEUTSCHE BANK,1000,252.803,252803.0,2026-08-15,2026-08-17
TRD-00132,MSFT,Equity,BARCLAYS,1000,425.4061,425406.1,2026-08-09,2026-08-11
TRD-00133,XAUUSD,Commodity,CITI,5000,2355.9372,11779686.0,2026-08-25,2026-08-27
TRD-00134,XAUUSD,Commodity,MORGAN STANLEY,5000,2382.0277,11910138.5,2026-08-09,2026-08-11
TRD-00135,EURUSD,FX,MORGAN STANLEY,500,1.0667,533.35,2026-08-09,2026-08-11
TRD-00136,US10Y,Bond,JPMORGAN,2500,98.0379,245094.75,2026-08-05,2026-08-07
TRD-00137,MSFT,Equity,MORGAN STANLEY,5000,416.7712,2083856.0,2026-08-23,2026-08-25
TRD-00138,MSFT,Equity,CITI,1000,413.9564,413956.4,2026-08-18,2026-08-20
TRD-00139,EURUSD,FX,BARCLAYS,250,1.0813,270.32,2026-08-13,2026-08-15
TRD-00140,XAUUSD,Commodity,JPMORGAN,5000,2388.0044,11940022.0,2026-08-28,2026-08-30
TRD-00141,XAUUSD,Commodity,JPMORGAN,1000,2387.2057,2387205.7,2026-08-31,2026-09-02
TRD-00142,US10Y,Bond,BARCLAYS,1000,97.9545,97954.5,2026-08-18,2026-08-20
TRD-00143,TSLA,Equity,MORGAN STANLEY,2500,251.236,628090.0,2026-08-16,2026-08-18
TRD-00144,MSFT,Equity,JPMORGAN,1000,417.4735,417473.5,2026-08-13,2026-08-15
TRD-00145,US10Y,Bond,UBS,1000,99.4171,99417.1,2026-08-06,2026-08-08
TRD-00146,XAUUSD,Commodity,DEUTSCHE BANK,250,2376.8955,594223.88,2026-08-18,2026-08-20
TRD-00147,AAPL,Equity,DEUTSCHE BANK,2500,192.5845,481461.25,2026-08-22,2026-08-24
TRD-00148,AAPL,Equity,MORGAN STANLEY,1000,186.3463,186346.3,2026-08-28,2026-08-30
TRD-00149,EURUSD,FX,BARCLAYS,500,1.0712,535.6,2026-08-11,2026-08-13
TRD-00150,MSFT,Equity,BARCLAYS,500,420.5366,210268.3,2026-08-09,2026-08-11
TRD-00151,XAUUSD,Commodity,CITI,1000,2422.9546,2422954.6,2026-08-27,2026-08-29
TRD-00152,AAPL,Equity,DEUTSCHE BANK,5000,189.2749,946374.5,2026-08-02,2026-08-04
TRD-00153,US10Y,Bond,UBS,100,97.6607,9766.07,2026-08-02,2026-08-04
TRD-00154,XAUUSD,Commodity,MORGAN STANLEY,250,2335.3541,583838.53,2026-08-27,2026-08-29
TRD-00155,AAPL,Equity,MORGAN STANLEY,250,190.4197,47604.93,2026-08-16,2026-08-18
TRD-00156,TSLA,Equity,BARCLAYS,250,245.0609,61265.22,2026-08-23,2026-08-25
TRD-00157,US10Y,Bond,DEUTSCHE BANK,250,99.8042,24951.05,2026-08-20,2026-08-22
TRD-00158,TSLA,Equity,CITI,250,251.074,62768.5,2026-08-04,2026-08-06
TRD-00159,GS-CDS-5Y,Derivative,DEUTSCHE BANK,500,100.1629,50081.45,2026-08-22,2026-08-24
TRD-00160,EURUSD,FX,MORGAN STANLEY,5000,1.0805,5402.5,2026-08-03,2026-08-05
TRD-00161,GS-CDS-5Y,Derivative,MORGAN STANLEY,5000,102.8785,514392.5,2026-08-04,2026-08-06
TRD-00162,TSLA,Equity,DEUTSCHE BANK,5000,251.6128,1258064.0,2026-08-26,2026-08-28
TRD-00163,AAPL,Equity,JPMORGAN,2500,191.7454,479363.5,2026-08-12,2026-08-14
TRD-00164,GS-CDS-5Y,Derivative,JPMORGAN,500,101.8075,50903.75,2026-08-17,2026-08-19
TRD-00165,TSLA,Equity,BARCLAYS,1000,247.3193,247319.3,2026-08-04,2026-08-06
TRD-00166,EURUSD,FX,BARCLAYS,5000,1.105,5525.0,2026-08-23,2026-08-25
TRD-00167,MSFT,Equity,DEUTSCHE BANK,5000,420.2128,2101064.0,2026-08-31,2026-09-02
TRD-00168,TSLA,Equity,BARCLAYS,2500,246.6109,616527.25,2026-08-15,2026-08-17
TRD-00169,EURUSD,FX,CITI,2500,1.0991,2747.75,2026-08-11,2026-08-13
TRD-00170,XAUUSD,Commodity,CITI,100,2355.7711,235577.11,2026-08-29,2026-08-31
TRD-00171,EURUSD,FX,DEUTSCHE BANK,1000,1.0739,1073.9,2026-08-20,2026-08-22
TRD-00172,TSLA,Equity,BARCLAYS,100,247.6952,24769.52,2026-08-28,2026-08-30
TRD-00173,US10Y,Bond,CITI,250,97.4933,24373.33,2026-08-26,2026-08-28
TRD-00174,US10Y,Bond,UBS,2500,98.1193,245298.25,2026-08-29,2026-08-31
TRD-00175,US10Y,Bond,MORGAN STANLEY,2500,98.9704,247426.0,2026-08-03,2026-08-05
TRD-00176,MSFT,Equity,DEUTSCHE BANK,1000,425.0087,425008.7,2026-08-25,2026-08-27
TRD-00177,MSFT,Equity,UBS,5000,424.5121,2122560.5,2026-08-16,2026-08-18
TRD-00178,EURUSD,FX,CITI,100,1.0977,109.77,2026-08-08,2026-08-10
TRD-00179,EURUSD,FX,UBS,500,1.0933,546.65,2026-08-19,2026-08-21
TRD-00180,US10Y,Bond,CITI,2500,98.6444,246611.0,2026-08-14,2026-08-16
TRD-00181,TSLA,Equity,UBS,500,249.4017,124700.85,2026-08-15,2026-08-17
TRD-00182,US10Y,Bond,JPMORGAN,250,97.9862,24496.55,2026-08-24,2026-08-26
TRD-00183,MSFT,Equity,DEUTSCHE BANK,5000,418.1916,2090958.0,2026-08-31,2026-09-02
TRD-00184,XAUUSD,Commodity,MORGAN STANLEY,250,2398.1036,599525.9,2026-08-24,2026-08-26
TRD-00185,EURUSD,FX,DEUTSCHE BANK,2500,1.0753,2688.25,2026-08-20,2026-08-22
TRD-00186,US10Y,Bond,CITI,250,100.648,25162.0,2026-08-08,2026-08-10
TRD-00187,US10Y,Bond,UBS,100,97.4838,9748.38,2026-08-18,2026-08-20
TRD-00188,MSFT,Equity,DEUTSCHE BANK,100,417.4967,41749.67,2026-08-10,2026-08-12
TRD-00189,TSLA,Equity,BARCLAYS,5000,253.3214,1266607.0,2026-08-04,2026-08-06
TRD-00190,XAUUSD,Commodity,BARCLAYS,500,2333.5677,1166783.85,2026-08-16,2026-08-18
TRD-00191,EURUSD,FX,CITI,100,1.0781,107.81,2026-08-31,2026-09-02
TRD-00192,XAUUSD,Commodity,BARCLAYS,100,2377.8798,237787.98,2026-08-16,2026-08-18
TRD-00193,AAPL,Equity,JPMORGAN,5000,190.0838,950419.0,2026-08-05,2026-08-07
TRD-00194,MSFT,Equity,JPMORGAN,500,426.5434,213271.7,2026-08-08,2026-08-10
TRD-00195,AAPL,Equity,DEUTSCHE BANK,1000,189.9402,189940.2,2026-08-20,2026-08-22
TRD-00196,XAUUSD,Commodity,BARCLAYS,2500,2391.2734,5978183.5,2026-08-15,2026-08-17
TRD-00197,EURUSD,FX,BARCLAYS,2500,1.0762,2690.5,2026-08-10,2026-08-12
TRD-00198,GS-CDS-5Y,Derivative,UBS,2500,102.5943,256485.75,2026-08-04,2026-08-06
TRD-00199,XAUUSD,Commodity,CITI,250,2352.1814,588045.35,2026-08-22,2026-08-24
TRD-00200,AAPL,Equity,DEUTSCHE BANK,250,186.9005,46725.12,2026-08-03,2026-08-05
TRD-00201,MSFT,Equity,UBS,1000,412.9191,412919.1,2026-08-20,2026-08-22
TRD-00202,EURUSD,FX,CITI,250,1.0759,268.98,2026-08-23,2026-08-25
TRD-00203,US10Y,Bond,JPMORGAN,1000,99.5518,99551.8,2026-08-22,2026-08-24
TRD-00204,MSFT,Equity,DEUTSCHE BANK,5000,428.4437,2142218.5,2026-08-22,2026-08-24
TRD-00205,XAUUSD,Commodity,JPMORGAN,1000,2421.2852,2421285.2,2026-08-18,2026-08-20
TRD-00206,MSFT,Equity,MORGAN STANLEY,500,423.7879,211893.95,2026-08-03,2026-08-05
TRD-00207,AAPL,Equity,DEUTSCHE BANK,500,186.9677,93483.85,2026-08-24,2026-08-26
TRD-00208,XAUUSD,Commodity,BARCLAYS,500,2386.5885,1193294.25,2026-08-04,2026-08-06
TRD-00209,EURUSD,FX,BARCLAYS,5000,1.0932,5466.0,2026-08-31,2026-09-02
TRD-00210,US10Y,Bond,BARCLAYS,1000,98.7519,98751.9,2026-08-03,2026-08-05
TRD-00211,GS-CDS-5Y,Derivative,UBS,1000,100.2208,100220.8,2026-08-11,2026-08-13
TRD-00212,GS-CDS-5Y,Derivative,MORGAN STANLEY,100,101.0805,10108.05,2026-08-31,2026-09-02
TRD-00213,TSLA,Equity,DEUTSCHE BANK,2500,252.2448,630612.0,2026-08-31,2026-09-02
TRD-00214,AAPL,Equity,CITI,5000,193.2868,966434.0,2026-08-19,2026-08-21
TRD-00215,AAPL,Equity,BARCLAYS,250,191.4944,47873.6,2026-08-17,2026-08-19
TRD-00216,TSLA,Equity,MORGAN STANLEY,500,248.3248,124162.4,2026-08-19,2026-08-21
TRD-00217,EURUSD,FX,JPMORGAN,1000,1.0908,1090.8,2026-08-16,2026-08-18
TRD-00218,US10Y,Bond,UBS,500,98.388,49194.0,2026-08-04,2026-08-06
TRD-00219,XAUUSD,Commodity,UBS,1000,2347.7105,2347710.5,2026-08-16,2026-08-18
TRD-00220,US10Y,Bond,DEUTSCHE BANK,1000,99.3922,99392.2,2026-08-02,2026-08-04
TRD-00221,EURUSD,FX,CITI,500,1.0671,533.55,2026-08-04,2026-08-06
TRD-00222,XAUUSD,Commodity,JPMORGAN,2500,2370.8775,5927193.75,2026-08-22,2026-08-24
TRD-00223,XAUUSD,Commodity,JPMORGAN,1000,2384.0549,2384054.9,2026-08-07,2026-08-09
TRD-00224,GS-CDS-5Y,Derivative,UBS,1000,101.5355,101535.5,2026-08-15,2026-08-17
TRD-00225,XAUUSD,Commodity,DEUTSCHE BANK,500,2337.3134,1168656.7,2026-08-05,2026-08-07
TRD-00226,US10Y,Bond,BARCLAYS,5000,98.5056,492528.0,2026-08-04,2026-08-06
TRD-00227,AAPL,Equity,MORGAN STANLEY,2500,193.0865,482716.25,2026-08-23,2026-08-25
TRD-00228,MSFT,Equity,DEUTSCHE BANK,100,418.1108,41811.08,2026-08-14,2026-08-16
TRD-00229,AAPL,Equity,BARCLAYS,100,187.4132,18741.32,2026-08-31,2026-09-02
TRD-00230,AAPL,Equity,BARCLAYS,250,190.6196,47654.9,2026-08-30,2026-09-01
TRD-00231,TSLA,Equity,CITI,5000,246.8278,1234139.0,2026-08-14,2026-08-16
TRD-00232,XAUUSD,Commodity,MORGAN STANLEY,1000,2378.334,2378334.0,2026-08-15,2026-08-17
TRD-00233,GS-CDS-5Y,Derivative,DEUTSCHE BANK,250,100.6487,25162.18,2026-08-17,2026-08-19
TRD-00234,TSLA,Equity,CITI,100,252.6766,25267.66,2026-08-25,2026-08-27
TRD-00235,XAUUSD,Commodity,DEUTSCHE BANK,500,2413.7401,1206870.05,2026-08-09,2026-08-11
TRD-00236,XAUUSD,Commodity,CITI,5000,2332.6442,11663221.0,2026-08-27,2026-08-29
TRD-00237,GS-CDS-5Y,Derivative,BARCLAYS,5000,102.4264,512132.0,2026-08-28,2026-08-30
TRD-00238,MSFT,Equity,CITI,1000,420.3992,420399.2,2026-08-11,2026-08-13
TRD-00239,GS-CDS-5Y,Derivative,BARCLAYS,1000,103.1736,103173.6,2026-08-30,2026-09-01
TRD-00240,US10Y,Bond,MORGAN STANLEY,5000,100.2099,501049.5,2026-08-19,2026-08-21
TRD-00241,EURUSD,FX,JPMORGAN,1000,1.0734,1073.4,2026-08-11,2026-08-13
TRD-00242,TSLA,Equity,BARCLAYS,1000,248.631,248631.0,2026-08-22,2026-08-24
TRD-00243,XAUUSD,Commodity,BARCLAYS,250,2410.5352,602633.8,2026-08-31,2026-09-02
TRD-00244,AAPL,Equity,CITI,2500,186.6669,466667.25,2026-08-28,2026-08-30
TRD-00245,AAPL,Equity,JPMORGAN,1000,192.3364,192336.4,2026-08-17,2026-08-19
TRD-00246,EURUSD,FX,BARCLAYS,250,1.064,266.0,2026-08-28,2026-08-30
TRD-00247,TSLA,Equity,BARCLAYS,100,253.5789,25357.89,2026-08-26,2026-08-28
TRD-00248,US10Y,Bond,BARCLAYS,5000,98.1123,490561.5,2026-08-21,2026-08-23
TRD-00249,AAPL,Equity,DEUTSCHE BANK,5000,192.1664,960832.0,2026-08-13,2026-08-15
TRD-00250,US10Y,Bond,DEUTSCHE BANK,1000,99.2509,99250.9,2026-08-02,2026-08-04
TRD-00251,GS-CDS-5Y,Derivative,UBS,5000,100.3374,501687.0,2026-08-30,2026-09-01
TRD-00252,US10Y,Bond,JPMORGAN,5000,100.7148,503574.0,2026-08-14,2026-08-16
TRD-00253,AAPL,Equity,JPMORGAN,5000,191.4736,957368.0,2026-08-15,2026-08-17
TRD-00254,MSFT,Equity,JPMORGAN,100,424.5693,42456.93,2026-08-11,2026-08-13
TRD-00255,XAUUSD,Commodity,CITI,500,2337.7426,1168871.3,2026-08-14,2026-08-16
TRD-00256,MSFT,Equity,DEUTSCHE BANK,1000,416.9892,416989.2,2026-08-22,2026-08-24
TRD-00257,XAUUSD,Commodity,JPMORGAN,250,2349.5414,587385.35,2026-08-20,2026-08-22
TRD-00258,XAUUSD,Commodity,MORGAN STANLEY,5000,2368.8182,11844091.0,2026-08-16,2026-08-18
TRD-00259,GS-CDS-5Y,Derivative,UBS,1000,100.6425,100642.5,2026-08-09,2026-08-11
TRD-00260,EURUSD,FX,BARCLAYS,100,1.0744,107.44,2026-08-29,2026-08-31
TRD-00261,US10Y,Bond,JPMORGAN,250,99.4516,24862.9,2026-08-15,2026-08-17
TRD-00262,US10Y,Bond,UBS,500,100.6762,50338.1,2026-08-31,2026-09-02
TRD-00263,EURUSD,FX,CITI,1000,1.0933,1093.3,2026-08-07,2026-08-09
TRD-00264,EURUSD,FX,MORGAN STANLEY,100,1.1003,110.03,2026-08-13,2026-08-15
TRD-00265,GS-CDS-5Y,Derivative,UBS,500,101.524,50762.0,2026-08-10,2026-08-12
TRD-00266,AAPL,Equity,BARCLAYS,5000,193.1228,965614.0,2026-08-09,2026-08-11
TRD-00267,AAPL,Equity,UBS,5000,189.9997,949998.5,2026-08-02,2026-08-04
TRD-00268,GS-CDS-5Y,Derivative,MORGAN STANLEY,500,103.1013,51550.65,2026-08-20,2026-08-22
TRD-00269,XAUUSD,Commodity,MORGAN STANLEY,5000,2365.941,11829705.0,2026-08-20,2026-08-22
